Page,Section,Component,Media Type,Config Key (lib/media.ts),Source URL,Alt Text,Description/Purpose,Dimensions/Notes
Individuals,Image Gallery - 1,ImageGallery.tsx,Image (Unsplash),INDIVIDUALS_GALLERY[0],https://images.unsplash.com/photo-1533575770077-052fa2c609fc?w=800&q=80,Friends gathered around a glowing campfire at night,Masonry grid image,row-span-2
Individuals,Image Gallery - 2,ImageGallery.tsx,Image (Unsplash),INDIVIDUALS_GALLERY[1],https://images.unsplash.com/photo-1487730116645-74489c95b41b?w=800&q=80,Young adults hiking through a forest trail,Masonry grid image,Standard
Individuals,Image Gallery - 3,ImageGallery.tsx,Image (Unsplash),INDIVIDUALS_GALLERY[2],https://images.unsplash.com/photo-1478131143081-80f7f84ca84d?w=800&q=80,Tent pitched at sunrise in a clearing,Masonry grid image,Standard
Individuals,Image Gallery - 4,ImageGallery.tsx,Image (Unsplash),INDIVIDUALS_GALLERY[3],https://images.unsplash.com/photo-1510672981848-a1c4f1cb5ccf?w=800&q=80,Group of campers laughing and connecting outdoors,Masonry grid image,row-span-2
Individuals,Image Gallery - 5,ImageGallery.tsx,Image (Unsplash),INDIVIDUALS_GALLERY[4],https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=800&q=80,Hiker standing on a ridge overlooking a valley,Masonry grid image,Standard
Individuals,Image Gallery - 6,ImageGallery.tsx,Image (Unsplash),INDIVIDUALS_GALLERY[5],https://images.unsplash.com/photo-1504280390367-361c6d9f38f4?w=800&q=80,Camping gear neatly arranged on a wooden surface,Masonry grid image,Standard
Individuals,Image Gallery - 7,ImageGallery.tsx,Image (Unsplash),INDIVIDUALS_GALLERY[6],https://images.unsplash.com/photo-1525811902-f2342640856e?w=800&q=80,Stars over a campsite in the wilderness,Masonry grid image,Standard
Individuals,CTA,IndividualsCta.tsx,Image (Unsplash),INDIVIDUALS_CTA,https://images.unsplash.com/photo-1476611338391-6f395a0dd82e?w=1600&q=50,,Background texture at 15% opacity,1600w (decorative)
Organizations,Hero,OrganizationsHero.tsx,Image (Unsplash),ORGANIZATIONS_HERO,https://images.unsplash.com/photo-1522071820081-009f0129c71c?w=1800&q=85&fit=crop,Professional team collaborating outdoors in a lush natural setting,Hero section background,h-[70vh]
Organizations,What We Offer - 1,WhatWeOffer.tsx,Image (Unsplash),ORGANIZATIONS_OFFERINGS[0],https://images.unsplash.com/photo-1539635278303-d4002c07eae3?w=1000&q=80&fit=crop,Group of colleagues completing an outdoor challenge together,Outdoor team-building programs,1000w
Organizations,What We Offer - 2,WhatWeOffer.tsx,Image (Unsplash),ORGANIZATIONS_OFFERINGS[1],https://images.unsplash.com/photo-1517048676732-d65bc937f952?w=1000&q=80&fit=crop,Team leaders collaborating in a nature setting,Leadership and collaboration modules,1000w
Organizations,What We Offer - 3,WhatWeOffer.tsx,Image (Unsplash),ORGANIZATIONS_OFFERINGS[2],https://images.unsplash.com/photo-1504280390367-361c6d9f38f4?w=1000&q=80&fit=crop,Well-organised luxury camp setup in a forest clearing,Full logistics and safety management,1000w
Gear Rental,Hero,GearHero.tsx,Image (Unsplash),GEAR_RENTAL_HERO,https://images.unsplash.com/photo-1504851149312-7a075b496cc7?w=1800&q=85&fit=crop,Premium camping gear and tent setup in a forest clearing,Hero section background,h-[60vh]
Contact,Hero Banner,page.tsx,None,N/A,N/A,,No image - uses brand-dark background with text only,Lucide icons only
Public Assets,Favicon,public/,Icon (SVG),N/A (static file),/public/icon.svg,,Main browser icon,SVG
Public Assets,Favicon Dark,public/,Icon (PNG),N/A (static file),/public/icon-dark-32x32.png,,Dark theme favicon,32x32
Public Assets,Favicon Light,public/,Icon (PNG),N/A (static file),/public/icon-light-32x32.png,,Light theme favicon,32x32
Public Assets,Apple Icon,public/,Icon (PNG),N/A (static file),/public/apple-icon.png,,Apple touch icon,180x180
Public Assets,Placeholder,public/,Image (JPG),N/A (static file),/public/placeholder.jpg,,General fallback image,Used as video poster
Public Assets,Placeholder,public/,Image (SVG),N/A (static file),/public/placeholder.svg,,General fallback SVG,Unused
Public Assets,Placeholder Logo,public/,Image (PNG),N/A (static file),/public/placeholder-logo.png,,Logo fallback,Unused
Public Assets,Placeholder Logo,public/,Image (SVG),N/A (static file),/public/placeholder-logo.svg,,Logo fallback SVG,Unused
Public Assets,Placeholder User,public/,Image (JPG),N/A (static file),/public/placeholder-user.jpg,,User avatar fallback,Unused
